"Model_y","Model_d","Theta","SE","CI_Lower","CI_Upper","t_stat","p_value","RMSE_y","RMSE_d"
"OLS","OLS",-0.072575619553783,0.0352046901948657,-0.14157681233572,-0.00357442677184612,-2.06153268647049,0.0392522484211608,1.19047483480523,0.473365142080675
"OLS","Lasso",-0.0724390691423734,0.0351715835171325,-0.141375372835953,-0.00350276544879366,-2.05959078035504,0.039437678361796,1.19047483480523,0.473811087707594
"OLS","RF",-0.0732846581212382,0.0352737548696293,-0.142421217665712,-0.00414809857676476,-2.07759730689562,0.0377464644451733,1.19047483480523,0.472435233255862
"OLS","NN_Small",-0.0726030092972645,0.0371315898784549,-0.145380925459036,0.000174906864507121,-1.9552895401172,0.0505489050909385,1.19047483480523,0.448819187834747
"OLS","NN_Medium",-0.077312353624689,0.0387458725003383,-0.153254263725352,-0.00137044352402607,-1.99537005197171,0.0460025347429005,1.19047483480523,0.430113206216239
"OLS","NN_Large",-0.0854436213214297,0.0390606597074474,-0.162002514348027,-0.00888472829483267,-2.18745976031579,0.0287089776915792,1.19047483480523,0.426613368656011
"Lasso","OLS",-0.072575619553783,0.035210084148627,-0.141587384485092,-0.00356385462247401,-2.06121687319549,0.0392823544909771,1.19065708378854,0.473365142080675
"Lasso","Lasso",-0.0727310126229503,0.0351810269377475,-0.141685825420935,-0.00377619982496517,-2.06733625916171,0.0387024798736637,1.19058473355417,0.473726150118674
"Lasso","RF",-0.0735933958914215,0.0352767505727911,-0.142735827014092,-0.00445096476875091,-2.08617275390959,0.0369629773237559,1.1905736156392,0.472432658766987
"Lasso","NN_Small",-0.0778223382591272,0.037147644129949,-0.150631720753827,-0.00501295576442706,-2.09494680165695,0.0361757217894303,1.1905736156392,0.448637579992546
"Lasso","NN_Medium",-0.0735782551972031,0.038663915259906,-0.149359529106619,0.00220301871221272,-1.90302132369669,0.057037762863682,1.19065708378854,0.431106124765539
"Lasso","NN_Large",-0.08565371800529,0.0390395347809947,-0.16217120617604,-0.00913622983454045,-2.19402506935068,0.0282336073505849,1.19068526953715,0.426918464267445
"RF","OLS",-0.0729750478684057,0.0352350768989507,-0.142035798590349,-0.00391429714646231,-2.07109092106391,0.0383503001390404,1.1915069968479,0.473365142080675
"RF","Lasso",-0.078059585116461,0.0352048910925932,-0.147061171657944,-0.00905799857497838,-2.21729375361948,0.0266030244660755,1.19168095970071,0.473811087707594
"RF","RF",-0.07741822561298,0.0353116642604444,-0.146629087563451,-0.00820736366250897,-2.19242641870332,0.0283487307599601,1.19187943926491,0.472462159944487
"RF","NN_Small",-0.0815724531462401,0.037063508434972,-0.154216929678785,-0.00892797661369496,-2.2008832026617,0.0277442933641374,1.19164278915881,0.450039746167934
"RF","NN_Medium",-0.0724584802390734,0.0387596085013195,-0.14842731290166,0.0035103524235128,-1.86943271722176,0.061562636297104,1.19167772023958,0.430415748706684
"RF","NN_Large",-0.079652949391513,0.0390129989792853,-0.156118427390912,-0.00318747139211385,-2.04170280356571,0.0411810205097467,1.19179735446133,0.427634883112427
"NN_Small","OLS",-0.0708175147751849,0.0333768330891485,-0.136236107629916,-0.00539892192045391,-2.12175656647932,0.0338581857108413,1.12869223998481,0.473365142080675
"NN_Small","Lasso",-0.0687459387747069,0.0334881555313826,-0.134382723616217,-0.00310915393319701,-2.05284339145772,0.0400877686756431,1.13338068571815,0.473764682055929
"NN_Small","RF",-0.0702368109909864,0.0334166704434354,-0.13573348506012,-0.00474013692185311,-2.10184946791383,0.0355664642497688,1.12783898422425,0.472447293750038
"NN_Small","NN_Small",-0.0745935925127569,0.035042291393335,-0.143276483643693,-0.00591070138182026,-2.12867336999956,0.033281293551866,1.13024280597033,0.451485560875544
"NN_Small","NN_Medium",-0.0789667047236158,0.0365801286520847,-0.150663756881702,-0.00726965256552971,-2.15873228535284,0.0308709425257425,1.12775748092034,0.431548504105837
"NN_Small","NN_Large",-0.081649180128099,0.0371220303347922,-0.154408359584292,-0.00889000067190625,-2.19948045383644,0.0278437774769058,1.13353782178117,0.427421009550143
"NN_Medium","OLS",-0.0659509892565481,0.0322226293043672,-0.129107342693108,-0.0027946358199885,-2.0467289814742,0.0406847020379708,1.08962756121156,0.473365142080675
"NN_Medium","Lasso",-0.0669584369212674,0.0320173354620312,-0.129712414426849,-0.00420445941568616,-2.09131821730363,0.0364995478485528,1.08361884770508,0.473764682055929
"NN_Medium","RF",-0.0690440412949329,0.0323229302110333,-0.132396984508558,-0.00569109808130765,-2.13606999254557,0.0326737092088731,1.09092150642932,0.472439332910446
"NN_Medium","NN_Small",-0.0812068444620875,0.0337125834826518,-0.147283508088085,-0.01513018083609,-2.40879921005982,0.0160051007733824,1.0878493735112,0.451634663169943
