Model_y,Model_d,Theta,SE,CI_Lower,CI_Upper,t_stat,p_value,RMSE_y,RMSE_d
OLS,OLS,-0.07257561955378308,0.03520469019486573,-0.14157681233571992,-0.0035744267718462452,-2.061532686470496,0.039252248421160374,1.1904748348052294,0.4733651420806746
Lasso,Lasso,-0.07285322559358781,0.035164407599676845,-0.14177546448895442,-0.0039309866982212005,-2.0717887934576584,0.03828514224638879,1.1905198185656176,0.4739233444890695
RF,RF,-0.07609860062560762,0.035092231626581046,-0.14487937461370648,-0.007317826637508781,-2.168531241768215,0.03011829024539736,1.1074026234171443,0.4417249030344257
NN_Small,NN_Small,-0.06485788790449926,0.03500499767395448,-0.13346768334545003,0.003751907536451521,-1.8528179464144592,0.06390845705140369,1.170558613066396,0.46813860774427146
NN_Medium,NN_Medium,-0.07334365772117384,0.03487134469409681,-0.14169149332160358,-0.004995822120744078,-2.103264395582365,0.035442663947948816,1.183665639715754,0.4751486854117093
