Model,Theta_CF,Theta_NoCF,Theta_Diff,RMSE_y_CF,RMSE_y_NoCF,RMSE_d_CF,RMSE_d_NoCF,RMSE_y_Diff,RMSE_d_Diff
OLS,-0.0798991718365234,-0.07257561955378308,0.007323552282740314,1.1963500276141352,1.1904748348052294,0.47655895654606534,0.4733651420806746,0.005875192808905805,0.003193814465390743
Lasso,-0.07680644604082626,-0.07285322559358781,0.003953220447238448,1.1962514440516312,1.1905198185656176,0.47464831197889307,0.4739233444890695,0.005731625486013581,0.0007249674898235914
RF,-0.07962571445415187,-0.07609860062560762,0.0035271138285442455,1.2282993815094176,1.1074026234171443,0.4862510551552638,0.4417249030344257,0.1208967580922733,0.0445261521208381
NN_Small,-0.05260532232396693,-0.06485788790449926,0.012252565580532324,1.2030392731200343,1.170558613066396,0.4819223486496452,0.46813860774427146,0.032480660053638255,0.013783740905373765
NN_Medium,-0.0736124583402777,-0.07334365772117384,0.000268800619103865,1.2000473359532478,1.183665639715754,0.480395920263683,0.4751486854117093,0.01638169623749386,0.005247234851973703
